utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Is cheesecake a pie? What if I bake a cheesecake without crust?,cheesecake (1.00),pie (1.00),cheesecake (1.00),crust (1.00),none,none
What’s the difference between a carrot cake cupcake and a carrotcake muffin?,carrot cake cupcake (1.00),a carrotcake muffin? (1.00),none,none,none,none
What happens if you add too much flour to cookies?,much flour to cookies (0.95),none,none,none,none,none
What's a good substitute for thickened cream in baking?,thickened cream in baking? (1.00),none,none,none,none,none
Is there a unique recipe for professional pizza dough?,professional pizza dough (1.00),none,none,none,none,none
How do I make dipping oils for bread?,dipping oils for bread (1.00),none,none,none,none,none
How do I make a bread sandwich at home?,bread sandwich (1.00),none,none,none,none,none
Can we bake a cake with jaggery?,cake (1.00),none,none,jaggery? (1.00),none,none
How long does Domino’s take to bake?,domino ’ s take to bake? (1.00),none,none,none,none,none
What is the purpose of kneading dough?,kneading dough (1.00),none,none,none,none,none
